city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,1,36,1
0.776,Male,No relevent experience,no_enrollment,Graduate,15,50-99,>4,47,0
0.624,,No relevent experience,Full time course,Graduate,5,,never,83,0
0.789,,No relevent experience,,Graduate,<1,,never,52,1
0.767,Male,Has relevent experience,no_enrollment,Masters,>20,50-99,4,8,0
0.764,,Has relevent experience,Part time course,Graduate,11,,1,24,1
0.92,Male,Has relevent experience,no_enrollment,High School,5,50-99,1,24,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,13,<10,>4,18,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,7,50-99,1,46,1
0.92,,Has relevent experience,no_enrollment,Graduate,17,10000+,>4,123,0
0.624,,No relevent experience,Full time course,High School,2,,never,32,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,5000-9999,1,108,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,3,23,0
0.624,Male,No relevent experience,,,2,,never,24,0
0.624,,No relevent experience,Full time course,High School,5,,never,26,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,16,Oct-49,>4,18,0
0.92,,Has relevent experience,no_enrollment,Graduate,1,50-99,never,106,0
0.624,,Has relevent experience,no_enrollment,Graduate,2,5000-9999,2,7,0
0.624,,Has relevent experience,no_enrollment,Graduate,7,10000+,never,23,1
0.827,Female,Has relevent experience,no_enrollment,Graduate,4,,1,132,1
0.843,Male,Has relevent experience,no_enrollment,Masters,11,100-500,1,68,0
0.926,Male,Has relevent experience,no_enrollment,Masters,11,100-500,2,50,0
0.804,,Has relevent experience,no_enrollment,Masters,10,,1,48,0
0.776,Male,Has relevent experience,no_enrollment,Graduate,<1,1000-4999,1,65,0
0.624,,Has relevent experience,no_enrollment,Graduate,5,1000-4999,1,13,0
0.855,,No relevent experience,no_enrollment,High School,4,,never,22,0
0.624,,Has relevent experience,Part time course,Graduate,14,500-999,1,148,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,,2,72,0
0.887,Male,Has relevent experience,no_enrollment,High School,11,<10,1,8,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,18,50-99,2,68,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,3,40,0
0.92,Male,Has relevent experience,Part time course,Graduate,19,5000-9999,>4,141,0
